PLAYER,HEIGHT,WEIGHT,MIN,FGA,FGA (LESS THAN 8FT),FGA (8-16 FT),FGA (16-24 FT),FGA (24+ FT),OFF BOX OUTS,DEF BOX OUTS,ISO %,ROLL-HANDLE %,ROLL-MAN %,POST-UP %,DIST MILES OFF,DIST MILES DEF,DFGA,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC/TOUCH,AVG DRIB/TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES
Aaron Gordon,0.55,0.496688742,1914,0.379310345,0.422865014,0.180440771,0.085399449,0.303030303,0.098047503,0.053291536,0.055,0.138,0.025,0.141,0.412748171,0.666666667,0.303566166,0.533446065,0.504586075,0.300236162,0.452830189,0.280649926,0.220778239,0.294329469,0.293451759
Aaron Holiday,0.15,0.165562914,1368,0.362573099,0.358870968,0.125,0.106854839,0.407258065,0.019597214,0.070175439,0.07,0.358,,,0.393274854,0.709064327,0.43259859,0.568122154,0.415737991,0.496701155,0.702830189,0.638109306,0.017321264,0,0.033812063
Abdel Nader,0.4,0.430463576,756,0.291005291,0.431818182,0.054545455,0.036363636,0.477272727,0,0.097883598,,0.096,,,0.403439153,0.740740741,0.360534527,0.323395804,0.382431454,0.128398938,0.322327044,0.209748892,0.067910351,0.004116947,0.055356711
Adam Mokoka,0.4,0.198675497,112,0.25,0.428571429,0,0.035714286,0.535714286,0.359048957,0.107142857,,,,,0.401785714,0.75,0.388049451,0.331283507,0.389458725,0.10400314,0.231132075,0.122599705,0.070522288,0,0.176995798
Admiral Schofield,0.4,0.536423841,293,0.255972696,0.293333333,0.066666667,0.013333333,0.613333333,0.045749128,0.211604096,,,0.126,,0.389078498,0.675767918,0.3723637,0.477138703,0.404625359,0.132518221,0.218553459,0.069423929,0.067393313,0.063735403,0.135314194
Al Horford,0.6,0.529801325,1848,0.353896104,0.319571865,0.152905199,0.123853211,0.403669725,0.159577314,0.278138528,0.035,,0.185,0.23,0.379329004,0.617965368,0.490689866,0.605739702,0.669070117,0.2143095,0.286163522,0.096011817,0.664619137,0.446314517,0.26579167
Al-Farouq Aminu,0.55,0.397350993,380,0.226315789,0.5,0.011627907,0.069767442,0.418604651,0.317474867,0.131578947,,,,,0.444736842,0.684210526,0.435897436,0.569284552,0.432661838,0.214574899,0.300314465,0.129985229,0.124713099,0.147430051,0.197076023
Alec Burks,0.45,0.357615894,1612,0.434863524,0.330955777,0.164051355,0.115549215,0.386590585,0.016630886,0.02853598,0.071,0.358,,0.039,0.382754342,0.686104218,0.288222943,0.644071036,0.603280659,0.433561476,0.54245283,0.41211226,0.097996231,0.052130973,0.080616779
Alen Smailagic,0.65,0.364238411,139,0.287769784,0.575,0.075,0.025,0.325,0.192870423,0.287769784,,,,0.179,0.417266187,0.73381295,0.561704483,0.459983574,0.486805445,0.195535879,0.356918239,0.150664697,0.142059285,0.403046181,0.301076786
Alex Caruso,0.4,0.17218543,1032,0.251937984,0.434615385,0.111538462,0.046153846,0.403846154,0,0.13372093,0.029,0.246,0.032,,0.402131783,0.726744186,0.422505466,0.546360977,0.405328142,0.368713973,0.540880503,0.416543575,0.076535816,0.003015903,0.08537265
Alex Len,0.75,0.59602649,895,0.337430168,0.725165563,0.082781457,0.009933775,0.182119205,0.22465633,0.332960894,,,0.288,0.065,0.396648045,0.670391061,0.669101848,0.5796536,0.534854417,0.173532241,0.242138365,0.079763663,0.503032721,0.118236887,0.664475846
Alfonzo McKinnie,0.5,0.364238411,593,0.28836425,0.49122807,0.093567251,0.040935673,0.374269006,0.045209087,0.057335582,,0.066,,,0.409780776,0.725126476,0.278462403,0.383238593,0.35175396,0.130953925,0.278301887,0.134416544,0.066597776,0.010497174,0.215432772
Alize Johnson,0.5,0.344370861,54,0.277777778,0.866666667,0.133333333,0,0,0.248231377,0.074074074,,,,,0.37037037,0.666666667,0.315764482,0.398767184,0.341747257,0.14380681,0.327044025,0.129985229,0.219402673,0.057637263,0.326313241
Allen Crabbe,0.4,0.344370861,653,0.271056662,0.141242938,0.107344633,0.084745763,0.655367232,0,0.024502297,,,,,0.396630934,0.692189893,0.191424196,0.358171755,0.429051478,0.101083194,0.224842767,0.084194978,0.048382825,0,0.043849903
Allonzo Trier,0.35,0.264900662,291,0.364261168,0.245283019,0.103773585,0.150943396,0.5,0,0.020618557,0.081,0.289,,,0.39862543,0.701030928,0.317649132,0.525955258,0.522709956,0.413629898,0.625786164,0.487444609,0.067856497,0,0.030276486
Amile Jefferson,0.6,0.410596026,74,0.189189189,0.642857143,0.285714286,0.071428571,0,0.181141816,0.216216216,,,,,0.445945946,0.675675676,0.367290367,0.501402064,0.362739103,0.20988021,0.297169811,0.091580502,0.213472871,0.126178872,0.416710828
Amir Coffey,0.5,0.331125828,98,0.336734694,0.454545455,0.272727273,0.060606061,0.212121212,0,0.020408163,,,,,0.397959184,0.693877551,0.303506018,0.436077269,0.359500361,0.356582193,0.641509434,0.490398818,0,0,0.089902628
Andre Drummond,0.65,0.78807947,1878,0.417465389,0.87755102,0.072704082,0.005102041,0.042091837,0.45680918,0.090521832,0.063,,0.167,0.157,0.357827476,0.631522897,0.534870703,0.631343808,0.608355776,0.287383898,0.366352201,0.194977843,0.643487713,0.432555686,0.770563177
Andre Iguodala,0.45,0.364238411,259,0.196911197,0.352941176,0.058823529,0.117647059,0.450980392,0,0.162162162,,,,,0.359073359,0.687258687,0.378180378,0.455354936,0.416718136,0.224871653,0.393081761,0.205317578,0.228720934,0.048068142,0.187094658
Andrew Wiggins,0.5,0.245033113,1859,0.526089295,0.421267894,0.143149284,0.09406953,0.341513292,0.050474159,0.035502959,0.091,0.364,,0.04,0.403442711,0.64873588,0.390684266,0.631915715,0.666314399,0.45741241,0.581761006,0.434268833,0.093473328,0.093757441,0.146919948
Anfernee Simons,0.3,0.139072848,1400,0.375,0.302857143,0.16952381,0.112380952,0.40952381,0,0.02,0.117,0.313,,,0.427857143,0.721428571,0.410714286,0.488643173,0.363894255,0.371637886,0.61163522,0.496307238,0.033850698,0,0.048772176
Ante Zizic,0.65,0.701986755,221,0.325791855,0.833333333,0.152777778,0.013888889,0,0.606538207,0.371040724,,,0.258,0.213,0.371040724,0.705882353,0.567351201,0.454203179,0.427640953,0.140553263,0.256289308,0.070901034,0.679056238,0.366166139,0.817259634
Anthony Davis,0.65,0.61589404,1889,0.526204341,0.494969819,0.183098592,0.126760563,0.192152918,0.149017672,0.082583377,0.081,0.029,0.128,0.225,0.340921122,0.645844362,0.461579183,0.622406123,0.684448426,0.283654937,0.366352201,0.163958641,0.386771256,0.818882399,0.488562957
Anthony Tolliver,0.55,0.529801325,732,0.211748634,0.174193548,0.025806452,0.019354839,0.780645161,0.109872905,0.281420765,,,0.19,,0.405737705,0.653005464,0.442062491,0.396906606,0.368995362,0.111391341,0.221698113,0.047267356,0.151064136,0.021259646,0.132397586
Antonius Cleveland,0.4,0.231788079,22,0.272727273,0.5,0.166666667,0.166666667,0.166666667,0,0,,,,,0.363636364,0.636363636,0,0.346341848,0.279611392,0.176490176,0.389937107,0.289512555,0.179511278,0,0.300356506
Anzejs Pasecniks,0.85,0.456953642,405,0.261728395,0.745283019,0.188679245,0.047169811,0.018867925,0.397170204,0.340740741,,,0.224,,0.414814815,0.70617284,0.592592593,0.576678697,0.55646119,0.162981052,0.231132075,0.0605613,0.409551657,0.084534652,0.532978294
Aron Baynes,0.65,0.662251656,934,0.407922912,0.472440945,0.073490814,0.01312336,0.440944882,0.416199504,0.372591006,,,0.263,0.09,0.362955032,0.64882227,0.576923077,0.522463175,0.574790014,0.149657623,0.226415094,0.048744461,0.469343192,0.15995266,0.502309275
Austin Rivers,0.3,0.264900662,1402,0.308131241,0.400462963,0.055555556,0.006944444,0.537037037,0.019121961,0.075606277,0.201,0.149,,,0.346647646,0.701854494,0.269121036,0.428636435,0.399273899,0.271407147,0.507861635,0.388478582,0.030985542,0,0.043989446
Avery Bradley,0.3,0.132450331,1186,0.322934233,0.237597911,0.101827676,0.208877285,0.449086162,0.022604544,0.087689713,,0.152,0.023,,0.391231029,0.768971332,0.314134994,0.390221804,0.441342771,0.163692407,0.33490566,0.23929099,0.066597776,0,0.109573565
BJ Johnson,0.5,0.264900662,46,0.391304348,0.277777778,0.166666667,0.222222222,0.333333333,0,0,,,,,0.456521739,0.739130435,0.392976589,0.352888953,0.401181563,0.168816691,0.43081761,0.243722304,0.17170644,0,0.143648764
Bam Adebayo,0.6,0.629139073,2234,0.321844226,0.724617524,0.210013908,0.0472879,0.016689847,0.162005975,0.324082363,0.076,0.047,0.178,0.065,0.375559534,0.658907789,0.423524551,0.631129187,0.642580522,0.335441938,0.427672956,0.214180207,0.896270724,0.280033504,0.509736631
Ben McLemore,0.3,0.231788079,1437,0.327070285,0.168085106,0.00212766,0,0.827659574,0.00932811,0.076548365,,,0.085,,0.375782881,0.748782185,0.348750067,0.384537849,0.387214106,0.102676261,0.213836478,0.078286558,0.074202992,0.00216591,0.067442611
Ben Simmons,0.65,0.529801325,1930,0.319689119,0.897893031,0.085899514,0.006482982,0.006482982,0.111125342,0.022797927,0.049,0.149,0.035,0.114,0.393264249,0.641450777,0.32483061,0.854642788,0.470848199,0.784603997,0.738993711,0.561299852,0.311028868,0.325755057,0.357211555
Bismack Biyombo,0.55,0.629139073,1029,0.270165209,0.888489209,0.097122302,0.014388489,0,0.403828305,0.246841594,,,0.249,0.043,0.38483965,0.67249757,0.483043034,0.557290331,0.528245429,0.158480975,0.226415094,0.045790251,0.521960879,0.096790272,0.785577723
Blake Griffin,0.6,0.59602649,512,0.48828125,0.488,0.04,0.024,0.448,0,0.1015625,0.093,0.202,0.078,0.166,0.3359375,0.56640625,0.306991186,0.685213347,0.758009008,0.364010989,0.43081761,0.285081241,0.123414004,0.425525102,0.167777267
Boban Marjanovic,0.95,0.860927152,337,0.513353116,0.676300578,0.190751445,0.046242775,0.086705202,0.437535425,0.243323442,,,0.19,0.321,0.382789318,0.652818991,0.537168074,0.586873156,0.610664643,0.184345822,0.248427673,0.0605613,0.468753486,0.720380267,1
Bobby Portis,0.65,0.59602649,1394,0.422525108,0.363327674,0.174872666,0.146010187,0.315789474,0.375018136,0.332855093,0.043,,0.158,0.205,0.397417504,0.675753228,0.408987235,0.637376159,0.621403223,0.217257635,0.273584906,0.107828656,0.240807812,0.444311351,0.273351713
Bogdan Bogdanovic,0.45,0.397350993,1510,0.423178808,0.189358372,0.136150235,0.079812207,0.594679186,0.026631446,0.084768212,0.064,0.246,,0.014,0.414569536,0.683443709,0.326625913,0.538390547,0.57922148,0.349707687,0.523584906,0.360413589,0.034000149,0.037101602,0.048136606
Bojan Bogdanovic,0.55,0.437086093,2083,0.448871819,0.348663102,0.13368984,0.028877005,0.487700535,0.019305561,0.089294287,0.095,0.138,0.023,0.045,0.404704753,0.651944311,0.254994645,0.445157242,0.605936545,0.219956072,0.399371069,0.279172821,0.049294504,0.095628603,0.059215749
Brad Wanamaker,0.3,0.331125828,1215,0.261728395,0.471698113,0.150943396,0.094339623,0.283018868,0,0.039506173,0.034,0.31,,,0.395884774,0.64691358,0.3558088,0.667474917,0.408715911,0.559248707,0.672955975,0.59084195,0.04875615,0,0.045321284
Bradley Beal,0.3,0.311258278,2053,0.634680955,0.353798926,0.161933998,0.115118956,0.36838066,0.006529223,0.02825134,0.092,0.322,,0.011,0.409157331,0.673161227,0.307992057,0.726951874,0.844690625,0.486057213,0.539308176,0.429837518,0.101953312,0.040932844,0.084757202
Brandon Clarke,0.55,0.364238411,1086,0.375690608,0.632352941,0.215686275,0.026960784,0.125,0.160458957,0.167587477,0.022,,0.237,0.02,0.430018416,0.714548803,0.4782311,0.578373415,0.575185865,0.160888835,0.226415094,0.093057607,0.552749277,0.065916648,0.55369588
Brandon Goodwin,0.15,0.132450331,430,0.441860465,0.321052632,0.184210526,0.036842105,0.447368421,0,0.074418605,0.047,0.289,,,0.425581395,0.725581395,0.442456768,0.738068836,0.466885999,0.686259477,0.75,0.644017725,0.073474384,0,0.076835385
Brandon Ingram,0.5,0.198675497,1918,0.524504692,0.345924453,0.210735586,0.093439364,0.347912525,0,0.03649635,0.132,0.226,0.011,0.033,0.404066736,0.671532847,0.332811957,0.634585821,0.606456408,0.425122323,0.537735849,0.372230428,0.086479886,0.10872347,0.113690732
Brandon Knight,0.25,0.145695364,462,0.361471861,0.107784431,0.101796407,0.005988024,0.784431138,0,0.060606061,,0.442,,,0.424242424,0.640692641,0.244200244,0.638186842,0.42849538,0.588300588,0.742138365,0.698670606,0,0.006736823,0.019070254
